p_local,p_transmission,distill_success_rate,distill_logical_error
0.0001,0.01,0.9166586,0.000485022450015693
0.0001,0.02,0.8451366,0.0004870218613179933
0.0001,0.05,0.6598678,0.0006001202058958377
0.0001,0.1,0.4304898,0.0015066559068298568
0.0001,0.15,0.27591,0.004750099670182251
0.0001,0.2,0.1739234,0.012860834137327082
0.0001,0.25,0.1080806,0.030591984130362015
0.001,0.01,0.8621192,0.004770338022862752
0.001,0.02,0.7954352,0.004850929403174553
0.001,0.05,0.6215124,0.005186380834879545
0.001,0.1,0.4059032,0.006677454131921112
0.001,0.15,0.2609936,0.010557347000079709
0.001,0.2,0.1647118,0.0201005635297532
0.001,0.25,0.1029128,0.039845383664616985
0.005,0.01,0.6580842,0.02500865390781304
0.005,0.02,0.6081132,0.025425200439655016
0.005,0.05,0.4773716,0.027010823433987308
0.005,0.1,0.3143012,0.031210825793856367
0.005,0.15,0.2038596,0.03950660160227926
0.005,0.2,0.1305942,0.054976407834344876
0.005,0.25,0.0830548,0.08303674200648248
0.01,0.01,0.4725338,0.05306414059692666
0.01,0.02,0.4374614,0.05390555601019886
0.01,0.05,0.3452948,0.0573538900672701
0.01,0.1,0.2302662,0.06598623679897442
0.01,0.15,0.1517774,0.08027940918740206
0.01,0.2,0.099124,0.10347241838505306
0.01,0.25,0.0649884,0.14092668845517042
